;Alin hyväksytty pistemäärä;Ylin hyväksytty pistemäärä
Tradenomi (AMK), tietojenkäsittely, päivätoteutus;111,00;282,50
Tradenomi (ylempi AMK), Dataosaaminen ja tekoäly;92,00;96,00
Tradenomi (ylempi AMK), Myynnin johtamisen tutkinto-ohjelma;55,00;97,00
Tradenomi (ylempi AMK), Terveysteknologia;65,00;90,00
Tradenomi (ylempi AMK), Tietojärjestelmäosaaminen;51,00;83,00
Verkostoissa oppimisen ja osaamisen tutkinto-ohjelma;16,00;20,00
Tampereen yliopisto;;
Administrative Sciences, Sustainable Urban Development, Bachelor and Master of Administrative Sciences (3 + 2 yrs);106,20;1 560,00
Arkkitehtuurin koulutus, Tekniikan kandidaatti ja arkkitehti (3 v + 2 v) - DIA-yhteisvalinta;151,67;312,73
Automaatiotekniikka, Teknisten tieteiden koulutus, Tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;13,50;99,50
Bioteknologian ja biolääketieteen tekniikan koulutus, Luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);67,00;153,40
Bioteknologian ja biolääketieteen tekniikan koulutus, Tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;25,50;99,50
Computing and Electrical Engineering, Science and Engineering, Bachelor and Master of Science (Technology) (3 + 2 yrs);62,10;450,00
Elinikäinen oppiminen ja kasvatus, Kasvatustieteiden koulutus, Kasvatustieteen kandidaatti ja maisteri (3 v + 2 v);55,00;113,70
Energiamurroksen koulutus, Tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;11,50;99,60
Englanti, Kielten koulutus, Humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);48,82;132,00
Erityisopettaja, Kasvatustieteiden koulutus, Kasvatustieteen kandidaatti ja maisteri (3 v + 2 v);78,50;99,00
Filosofian koulutus, Humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);23,00;45,75
Hallintotieteiden koulutus, Hallintotieteiden kandidaatti ja maisteri (3 v + 2 v);55,36;142,20
Historian koulutus, Humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);57,50;140,00
Hoitotiede, Terveystieteiden koulutus, Terveystieteiden kandidaatti ja maisteri (3 v + 2 v);19,25;26,00
Informaatiotutkimus, Viestinnän monitieteinen koulutus, Luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);28,00;139,70
Journalistiikka, Viestinnän monitieteinen koulutus, Yhteiskuntatieteiden kandidaatti ja maisteri (3 v + 2 v);104,00;130,00
Kansanterveystiede, Terveystieteiden koulutus, Terveystieteiden kandidaatti ja maisteri (3 v + 2 v);38,50;131,40
Kauppatieteiden koulutus (Kauppatieteellisen alan yhteisvalinta), Kauppatieteiden kandidaatti ja maisteri (3 v + 2 v);24,96;135,00
Kirjallisuustieteen koulutus, Humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);94,80;141,00
Konetekniikka, Teknisten tieteiden koulutus, Tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;17,00;105,00
Logopedian koulutus, Humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);72,90;132,70
Luokanopettaja, Kasvatustieteiden koulutus, Kasvatustieteen kandidaatti ja maisteri (3 v + 2 v);69,50;99,00
Lääketieteen lisensiaatin koulutus, Lääketieteen lisensiaatti (6 v) (lääketieteen yhteisvalinta);145,75;199,00
Maisterihaku, Arkkitehtuurin maisteriohjelma, Arkkitehti (2 v);?;?
Maisterihaku, Automaatiotekniikan DI-ohjelma, Diplomi-insinööri (2 v);?;?
Maisterihaku, Bioteknologian ja biolääketieteen tekniikan DI-ohjelma, Diplomi-insinööri (2 v);?;?
Maisterihaku, Bioteknologian ja biolääketieteen tekniikan maisteriohjelma, Filosofian maisteri (2 v);?;?
Maisterihaku, Elinikäinen oppiminen ja kasvatus, Kasvatuksen ja yhteiskunnan tutkimuksen maisteriohjelma, Kasvatustieteen maisteri (2 v);?;?
Maisterihaku, Energiamurroksen DI-ohjelma, Diplomi-insinööri (2v);?;?
Maisterihaku, Englanti, Kielten maisteriohjelma, Filosofian maisteri (2 v);?;?
Maisterihaku, Englanti, suomi A-työkielenä, Monikielisen viestinnän ja käännöstieteen maisteriohjelma, Filosofian maisteri (2 v);?;?
Maisterihaku, Hallintotiede, Hallintotieteiden maisteriohjelma, Hallintotieteiden maisteri (2 v);?;?
Maisterihaku, historian maisteriohjelma, filosofian maisteri (2 v);?;?
Maisterihaku, Hoitotyön johtaminen, Hoitotieteen maisteriohjelma, Terveystieteiden maisteri (2 v);?;?
Maisterihaku, Hoitotyön opettaminen, Hoitotieteen maisteriohjelma, Terveystieteiden maisteri (2 v);?;?
Maisterihaku, Hyvinvointipolitiikan ja yhteiskunnan tutkimuksen maisteriohjelma, Pori, Yhteiskuntatieteiden maisteri (2 v);?;?
Maisterihaku, Informaatiotutkimuksen maisteriohjelma, Filosofian maisteri (2v);?;?
Maisterihaku, Johtamisen ja tietotekniikan DI-ohjelma, Pori, Diplomi-insinööri (2 v);?;?
Maisterihaku, Journalistiikan maisteriohjelma, Yhteiskuntatieteiden maisteri (2 v);?;?
Maisterihaku, Julkinen talousjohtaminen, Hallintotieteiden maisteriohjelma, Hallintotieteiden maisteri (2 v);?;?
Maisterihaku, Julkisoikeus, Hallintotieteiden maisteriohjelma, Hallintotieteiden maisteri (2 v);?;?
Maisterihaku, Kansainvälinen politiikka, Politiikan tutkimuksen maisteriohjelma, Yhteiskuntatieteiden maisteri (2 v);?;?
Maisterihaku, Kansanterveystieteen maisteriohjelma, Terveystieteiden maisteri (2 v);?;?
Maisterihaku, Kirjallisuustieteen maisteriohjelma, Filosofian maisteri (2 v);?;?
Maisterihaku, Konetekniikan DI-ohjelma, Seinäjoki, Diplomi-insinööri (2 v);?;?
Maisterihaku, Konetekniikan DI-ohjelma, Tampere, Diplomi-insinööri (2 v);?;?
Maisterihaku, Kriminologia ja kriminaalipolitiikka, Yhteiskuntatutkimuksen maisteriohjelma, Yhteiskuntatieteiden maisteri (2 v);?;?
Maisterihaku, Kunta- ja aluejohtaminen, Hallintotieteiden maisteriohjelma, Hallintotieteiden maisteri (2 v);?;?
Maisterihaku, Logopedian maisteriohjelma, Filosofian maisteri (2v);?;?
Maisterihaku, Luokanopettaja, Kasvatuksen ja yhteiskunnan tutkimuksen maisteriohjelma, Kasvatustieteen maisteri (2 v);?;?
Maisterihaku, Markkinointi, Kauppatieteiden maisteriohjelma, Kauppatieteiden maisteri (2 v);?;?
Maisterihaku, Matematiikan ja tilastollisen data-analyysin maisteriohjelma, Filosofian maisteri (2 v);?;?
Maisterihaku, Materiaalitekniikan DI-ohjelma, Diplomi-insinööri (2 v);?;?
Maisterihaku, Media, kulttuuri ja yhteiskunta -maisteriohjelma, Yhteiskuntatieteiden maisteri (2 v);?;?
Maisterihaku, Nuorisotyö ja nuorisotutkimus, Yhteiskuntatutkimuksen maisteriohjelma, Yhteiskuntatieteiden maisteri (2 v);?;?
Maisterihaku, psykologian maisteriohjelma, psykologian maisteri (2,5 v);?;?
Maisterihaku, Rakennustekniikan DI-ohjelma, Diplomi-insinööri (2 v);?;?
Maisterihaku, Saksa, Kielten maisteriohjelma, Filosofian maisteri (2 v);?;?
Maisterihaku, Sosiaalipolitiikka, Yhteiskuntatutkimuksen maisteriohjelma, Yhteiskuntatieteiden maisteri (2 v);?;?
Maisterihaku, Sosiaalipsykologia, Yhteiskuntatutkimuksen maisteriohjelma, Yhteiskuntatieteiden maisteri (2 v);?;?
Maisterihaku, Sosiaalityön maisteriohjelma, Pori, Yhteiskuntatieteiden maisteri (2 v);?;?
Maisterihaku, Sosiaalityön maisteriohjelma, Tampere, Yhteiskuntatieteiden maisteri (2 v);?;?
Maisterihaku, Sosiologia, Yhteiskuntatutkimuksen maisteriohjelma, Yhteiskuntatieteiden maisteri (2 v);?;?
Maisterihaku, Sukupuolentutkimus, Yhteiskuntatutkimuksen maisteriohjelma, Yhteiskuntatieteiden maisteri (2 v);?;?
Maisterihaku, Suomen kieli, Kielten maisteriohjelma, Filosofian maisteri (2 v);?;?
Maisterihaku, Sähkötekniikan DI-ohjelma, Diplomi-insinööri (2 v);?;?
Maisterihaku, Taloustiede, Kauppatieteiden maisteriohjelma, Kauppatieteiden maisteri (2 v);?;?
Maisterihaku, Teatteritaiteen maisteriohjelma, Teatteritaiteen maisteri (2 v);?;?
Maisterihaku, Teknis-luonnontieteellinen DI-ohjelma, Diplomi-insinööri (2 v);?;?
Maisterihaku, Tietojenkäsittelytieteiden maisteriohjelma, Filosofian maisteri (2 v);?;?
Maisterihaku, Tietojohtamisen DI-ohjelma, Diplomi-insinööri (2 v);?;?
Maisterihaku, Tietotekniikan DI-ohjelma, Diplomi-insinööri (2 v);?;?
Maisterihaku, Tilintarkastuksen ja arvioinnin maisteriohjelma (HM), Hallintotieteiden maisteri (2 v);?;?
Maisterihaku, Tilintarkastuksen ja arvioinnin maisteriohjelma (KTM), Kauppatieteiden maisteri (2 v);?;?
Maisterihaku, Tuotantotalouden DI-ohjelma, Diplomi-insinööri (2 v);?;?
Maisterihaku, Vakuutus ja riskienhallinta, Kauppatieteiden maisteriohjelma, Kauppatieteiden maisteri (2 v);?;?
Maisterihaku, Valtio-oppi, Politiikan tutkimuksen maisteriohjelma, Yhteiskuntatieteiden maisteri (2 v);?;?
Maisterihaku, Varhaiskasvatus, Kasvatuksen ja yhteiskunnan tutkimuksen maisteriohjelma, Kasvatustieteen maisteri (2 v);?;?
Maisterihaku, Vastuullisen liiketoiminnan maisteriohjelma, Kauppatieteiden maisteri (2 v);?;?
Maisterihaku, Venäjä, Kielten maisteriohjelma, Filosofian maisteri (2 v);?;?
Maisterihaku, Venäjä, suomi B-työkielenä, Monikielisen viestinnän ja käännöstieteen maisteriohjelma, Filosofian maisteri (2 v);?;?
Maisterihaku, Viestinnän maisteriohjelma, Filosofian maisteri (2v);?;?
Maisterihaku, Visuaalisen journalismin ja visuaalisen tutkimuksen maisteriohjelma, Yhteiskuntatieteiden maisteri (2 v);?;?
Maisterihaku, Ympäristö-, energia- ja biotekniikan DI-ohjelma, Diplomi-insinööri (2 v);?;?
Maisterihaku, Ympäristöpolitiikka ja aluetiede, Hallintotieteiden maisteriohjelma, Hallintotieteiden maisteri (2 v);?;?
Maisterihaku, Yrityksen johtaminen, Kauppatieteiden maisteriohjelma, Kauppatieteiden maisteri (2 v);?;?
Maisterihaku, Yrityksen laskentatoimi, Kauppatieteiden maisteriohjelma, Kauppatieteiden maisteri (2 v);?;?
Maisterihaku, Yritysjuridiikka ja vero-oikeus, Kauppatieteiden maisteriohjelma, Kauppatieteiden maisteri (2 v);?;?
Matemaattisten aineiden DI-opettajankoulutus, Tekniikan ja luonnontieteiden koulutus, Tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;14,50;105,00
Matematiikan ja tilastollisen data-analyysin koulutus, Luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);29,00;112,60
Materiaalitekniikka, Teknisten tieteiden koulutus, Tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;12,00;94,00
Mediatutkimus, Viestinnän monitieteinen koulutus, Yhteiskuntatieteiden kandidaatti ja maisteri (3 v + 2 v);37,00;134,60
Natural Sciences and Mathematics, Science and Engineering, Bachelor and Master of Science (Technology) (3 + 2 yrs);56,70;490,00
Pohjoismaiset kielet, Kielten koulutus, Humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);37,00;137,70
Politiikan tutkimuksen koulutus, Yhteiskuntatieteiden kandidaatti ja maisteri (3 v + 2 v);62,70;149,80
Psykologian koulutus, Psykologian kandidaatti ja maisteri (3 v + 2,5 v);82,30;153,40
Rakennustekniikan koulutus, Tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;15,00;98,40
Robotiikan koulutus, Tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;15,00;99,60
Saksa, Kielten koulutus, Humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);28,50;129,00
Social Sciences, Sustainable Urban Development, Bachelor and Master of Social Sciences (3 + 2 yrs);94,40;1 530,00
Socially Sustainable Societies, Bachelor and Master of Social Sciences (3 + 2 yrs);60,50;400,00
Sosiaalityön koulutus, Yhteiskuntatieteiden kandidaatti ja maisteri (3 v + 2 v);34,00;132,20
Suomen kieli, Kielten koulutus, Humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);87,00;138,70
Sähkötekniikka, Tieto- ja sähkötekniikan koulutus, Tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;7,50;92,90
Talousguru-kilpailun perusteella hakevien valinta, Kauppatieteiden koulutus, Kauppatieteiden kandidaatti ja maisteri (3 v + 2 v);?;?
Teatteritaiteen koulutus, Teatteritaiteen kandidaatti ja maisteri (3 v + 2 v);4,00;10,00
Technology, Sustainable Urban Development, Bachelor and Master of Science (Technology) (3 + 2 yrs);51,20;1 560,00
Teknis-luonnontieteellinen, Tekniikan ja luonnontieteiden koulutus, Tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;24,00;105,00
Tietojenkäsittelytieteiden koulutus, Luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);3,00;125,70
Tietojohtaminen, Teknis-taloudellinen koulutus, Tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;20,50;99,50
Tietotekniikka, Tieto- ja sähkötekniikan koulutus, Tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;11,50;99,60
Tuotantotalous, Teknis-taloudellinen koulutus, Tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;30,50;105,00
Valinta näyttöreitin perusteella, Tietotekniikka, Tieto- ja sähkötekniikan koulutus, Tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v);3,00;4,00
Varhaiskasvatuksen opettaja, Kasvatustieteiden koulutus, Kasvatustieteen kandidaatti (3 v);61,00;99,00
Varhaiskasvatuksen opettaja, Kasvatustieteiden koulutus, Kasvatustieteen kandidaatti (3 v), Valtakunnallinen monimuotokoulutus varhaiskasvatuksen opettajaksi;49,00;80,50
Venäjä, Kielten koulutus, Humanististen tieteiden kandidaatti ja filosofian maisteri (3v + 2v);36,00;127,00
Viestintä, Viestinnän monitieteinen koulutus, Humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);84,00;145,10
Yhteiskuntatutkimuksen koulutus, Yhteiskuntatieteiden kandidaatti ja maisteri (3 v + 2 v);7,00;152,70
Ympäristö-, energia- ja biotekniikka, Tekniikan ja luonnontieteiden koulutus, Tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;13,50;105,00
Turun ammattikorkeakoulu;;
Bachelor of Business Administration, Business Administration, full-time;129,00;1 480,00
Bachelor of Engineering, Energy and Environmental Engineering, full-time;72,00;1 580,00
Bachelor of Engineering, Industrial Management and Engineering, full-time;64,00;1 420,00
Bachelor of Engineering, Information and Communications Technology, full-time;32,00;1 480,00
Bachelor of Engineering, Mechanical Engineering, full-time;34,00;1 450,00
Bachelor of Social Services, Early Childhood Education, full-time;53,00;1 260,00
Bioanalyytikko (AMK), päivätoteutus;87,00;380,65
Ensihoitaja (AMK), päivätoteutus;117,00;426,25
Fysioterapeutti (AMK), monimuotototeutus;129,00;414,73
Fysioterapeutti (AMK), päivätoteutus;125,00;428,15
Hammasteknikko (AMK), päivätoteutus;136,00;413,53
Insinööri (AMK), ajoneuvo- ja kuljetustekniikka, päivätoteutus;67,00;331,64
Insinööri (AMK), bio- ja kemiantekniikka, päivätoteutus;90,00;325,50
Insinööri (AMK), energia- ja ympäristötekniikka, päivätoteutus;87,00;353,88
Insinööri (AMK), kemiantekniikka, monimuotototeutus;65,00;342,99
Insinööri (AMK), Konetekniikka, monimuotototeutus;69,00;352,35
Insinööri (AMK), konetekniikka, päivätoteutus;63,00;370,14
Insinööri (AMK), rakennus- ja yhdyskuntatekniikka, päivätoteutus;62,00;365,00
Insinööri (AMK), rakentamisen tuotantojohtaminen, monimuotototeutus;46,00;358,75
Insinööri (AMK), sähkö- ja automaatiotekniikka, päivätoteutus;95,00;369,09
Insinööri (AMK), tieto- ja viestintätekniikka, päivätoteutus;95,00;356,05
Insinööri (AMK), tuotantotalous, päivätoteutus;109,00;310,74
Insinööri (ylempi AMK), Data Engineering and AI;3,86;27,00
Insinööri (ylempi AMK), kestävä kiertotalous;3,40;28,00
Insinööri (ylempi AMK), projektijohtaminen;3,86;28,00
Insinööri (ylempi AMK), rakennettu ympäristö;2,30;23,00
Insinööri (ylempi AMK), teknologiaosaamisen johtaminen;3,61;30,00
Insinööri (ylempi AMK), terveysteknologia;2,26;27,00
Kulttuurialan ylempi AMK, kulttuurihyvinvointi;87,00;100,00
Kulttuurialan ylempi AMK, taiteen uudet kontekstit;59,00;96,00
Kulttuurialan ylempi AMK, valokuvataide;52,00;90,00
Kuvataiteilija (AMK), animaatio, päivätoteutus;62,50;86,30
Kuvataiteilija (AMK), kuvataide, päivätoteutus;65,00;89,00
Kuvataiteilija (AMK), monimuotototeutus;62,00;95,00
Kuvataiteilija (AMK), valokuva, monimuotototeutus;63,00;96,50
Kuvataiteilija (AMK), valokuva, päivätoteutus;59,50;91,00
Kätilö (AMK), päivätoteutus;119,00;395,24
Master of Business Administration, Business Management;3,85;88,00
Master of Business Administration, Interactive Technologies;3,59;700,00
Master of Business Administration, Sales Management;2,77;89,00
Master of Business Administration, Service Design;3,30;700,00
Master of Business Administration, Quality Management, Online;2,72;4,65
Master of Engineering, Interactive Technologies;2,88;790,00
Master of Engineering, Quality Management, Online;2,18;4,01
Master of Engineering, Sales Management;3,60;49,00
Medianomi (AMK), elokuva, päivätoteutus;61,60;91,30
Medianomi (AMK), journalismi, päivätoteutus;61,10;91,00
Medianomi (AMK), mainonnan suunnittelu, päivätoteutus;66,99;98,61
Medianomi (AMK), tuotanto ja projektinhallinta, päivätoteutus;70,00;89,50
Musiikkipedagogi (AMK), monimuotototeutus;50,00;95,00
Musiikkipedagogi (AMK), päivätoteutus;61,00;100,00
Musiikkipedagogi (ylempi AMK);59,00;95,00
Rakennusarkkitehti (AMK), päivätoteutus;185,00;705,47
Rakennusmestari (AMK), päivätoteutus;60,00;370,53
Röntgenhoitaja (AMK), päivätoteutus;115,00;403,23
Sairaanhoitaja (AMK), monimuotototeutus;60,00;390,98
Sairaanhoitaja (AMK), monimuotototeutus, Salo;28,00;335,41
Sairaanhoitaja (AMK), päivätoteutus;58,00;433,38
Sairaanhoitaja (AMK), päivätoteutus, Salo;45,00;342,86
Sairaanhoitaja (AMK), verkko-opinnot;60,00;411,04
Sosiaali- ja terveysalan ylempi AMK, erityissosiaaliohjaus;3,91;27,00
Sosiaali- ja terveysalan ylempi AMK, gerontologinen asiantuntijuus, verkko-opinnot;4,12;26,00
Sosiaali- ja terveysalan ylempi AMK, kliininen asiantuntija, bioanalytiikka;3,15;25,00
Sosiaali- ja terveysalan ylempi AMK, kliininen asiantuntija, mielenterveys ja päihdetyö;3,89;28,00
Sosiaali- ja terveysalan ylempi AMK, kliininen asiantuntija, syöpää sairastavan hoito;2,74;17,00
Sosiaali- ja terveysalan ylempi AMK, kulttuurihyvinvointi;80,00;100,00
Sosiaali- ja terveysalan ylempi AMK, kuntoutuksen ja liikunnan integraatio;2,42;28,00
Sosiaali- ja terveysalan ylempi AMK, sosiaali- ja terveysalan kehittäminen ja johtaminen;4,05;28,00
Sosiaali- ja terveysalan ylempi AMK, sosiaali- ja terveysalan kehittäminen ja johtaminen, verkko-opinnot;4,33;29,00
Sosiaali- ja terveysalan ylempi AMK, terveyden edistäminen;3,96;27,00
Sosiaali- ja terveysalan ylempi AMK, terveyden edistäminen, verkko-opinnot;4,17;28,00
Sosiaali- ja terveysalan ylempi AMK, terveysteknologia;4,18;28,00
Sosionomi (AMK), päivätoteutus;107,00;425,26
Sosionomi (AMK), verkko-opinnot;101,00;406,56
Suuhygienisti (AMK), päivätoteutus;111,00;395,63
Tanssinopettaja (AMK), päivätoteutus;50,00;77,00
Teatteri-ilmaisun ohjaaja (AMK), monimuotototeutus;53,00;99,00
Teatteri-ilmaisun ohjaaja (AMK), sirkus, päivätoteutus;65,00;93,00
Teatteri-ilmaisun ohjaaja (AMK), teatteri, päivätoteutus;66,75;93,75
Terveydenhoitaja (AMK), päivätoteutus;99,00;390,74
Toimintaterapeutti (AMK), monimuotototeutus;136,00;436,72
Toimintaterapeutti (AMK), päivätoteutus;119,00;397,81
Tradenomi (AMK), finanssipalvelut, päivätoteutus;116,00;218,40
Tradenomi (AMK), kirjasto- ja tietopalvelut, monimuotototeutus;89,00;277,87
Tradenomi (AMK), liiketalous, monimuotototeutus;111,00;251,43
Tradenomi (AMK), liiketalous, monimuotototeutus, Salo;87,00;270,72
Tradenomi (AMK), liiketalous, päivätoteutus;115,00;239,15
Tradenomi (AMK), liiketoiminnan logistiikka, päivätoteutus;87,00;238,22
Tradenomi (AMK), liiketoiminta ja logistiikka, monimuotototeutus;73,00;239,02
Tradenomi (AMK), matkailu ja wellness liiketoimintana, päivätoteutus;112,00;256,97
Tradenomi (AMK), mediatuotanto, verkko-opinnot;57,60;86,00
Tradenomi (AMK), taloushallinto, päivätoteutus;82,00;250,79
Tradenomi (AMK), tietojenkäsittely, päivätoteutus;81,00;284,38
Tradenomi (ylempi AMK), Data Engineering and AI;3,67;17,00
Tradenomi (ylempi AMK), kestävä kiertotalous;3,87;30,00
Tradenomi (Ylempi AMK), liiketoiminnan kehittäminen;4,09;28,00
Tradenomi (ylempi AMK), projektijohtaminen;3,91;26,00
Tradenomi (ylempi AMK), SOTE-palvelujen ja -liiketoiminnan johtaminen;3,95;29,00
Tradenomi (ylempi AMK), taide- ja kulttuurialan johtaminen;3,76;26,00
Tradenomi (ylempi AMK), teknologiaosaamisen johtaminen;3,95;27,00
Tradenomi (ylempi AMK), Terveysteknologia;3,39;26,00
Turun yliopisto;;
Automaatiotekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta;10,00;99,50
Biokemia, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);53,50;158,10
Biologia,  luonnontieteiden kandidaatti ja filosofian maisteri (3 v +2 v);113,50;156,70
Biolääketieteen ja lääkekehityksen tutkinto-ohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);72,65;178,40
Biotekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta;17,50;99,50
Digitaalisen kulttuurin, maiseman ja kulttuuriperinnön tutkinto-ohjelma, Pori, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);37,00;116,90
Digitaalisen kulttuurin, maiseman ja kulttuuriperinnön tutkinto-ohjelma, Pori, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v), syksy 2023;91,40;111,30
Elintarviketekniikka,  tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) DIA-yhteisvalinta;11,00;99,60
Englannin kieli, kielten tutkinto-ohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);36,71;146,60
Erityisopettajan tutkinto-ohjelma, Turku, kasvatustieteen kandidaatti ja kasvatustieteen maisteri (3 v + 2 v);72,00;95,50
Espanja, kielten tutkinto-ohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);32,75;139,90
Filosofia, valtiotieteiden kandidaatti ja valtiotieteiden maisteri (3 v +2 v);40,00;125,30
Fysikaaliset tieteet, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);13,00;135,00
Geologia, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);47,50;134,50
Haku lukioyhteistyöopintojen perusteella, tietotekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v+2 v);8,00;8,00
Hammaslääketiede, hammaslääketieteen lisensiaatti (5,5 v) (hammaslääketieteen yhteisvalinta);124,35;187,90
Historian ja arkeologian tutkinto-ohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);56,50;148,10
Italia, kielten tutkinto-ohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);42,00;135,30
Kasvatustieteiden tutkinto-ohjelma, Turku, kasvatustieteen kandidaatti ja kasvatustieteen maisteri (3 v + 2 v);7,00;110,05
Kauppatieteet, Pori, kauppatieteiden kandidaatti ja kauppatieteiden maisteri (3 v + 2 v), Kauppatieteellisen alan yhteisvalinta;21,43;116,10
Kauppatieteet, Turku, kauppatieteiden kandidaatti ja kauppatieteiden maisteri (3 v + 2 v), Kauppatieteellisen alan yhteisvalinta;24,94;143,90
Kemia, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);28,00;127,40
Kiinan kieli, kielten tutkinto-ohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);31,50;136,70
Kirjallisuustieteiden tutkinto-ohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);30,00;128,90
Klassilliset kielet ja antiikin kulttuuri, kielten tutkinto-ohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);34,50;129,70
Konetekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta;14,50;99,50
Kulttuurien tutkimuksen tutkinto-ohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);28,00;126,50
Käsityön aineenopettajan tutkinto-ohjelma, Rauma, kasvatustieteen kandidaatti ja kasvatustieteen maisteri (3 v + 2 v);58,50;87,50
Logopedia, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);66,80;135,60
Luokanopettajan tutkinto-ohjelma, Rauma, kasvatustieteen kandidaatti ja kasvatustieteen maisteri (3 v + 2 v);67,50;90,00
Luokanopettajan tutkinto-ohjelma, Turku, kasvatustieteen kandidaatti ja kasvatustieteen maisteri (3 v + 2 v);68,00;95,00
Lääketiede, lääketieteen lisensiaatti (6 v) (lääketieteen yhteisvalinta);142,55;199,00
Lääketieteellinen tekniikka ja terveysteknologia, tekniikan kandidaatti ja diplomi-insinööri (3v + 2v), DIA-yhteisvalinta;24,50;105,00
Maantiede, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);100,50;127,00
Maisterihaku, Asiantuntijaorganisaatioiden liiketoimintaosaamisen maisteriohjelma, JOHTAMINEN JA ORGANISOINTI, Pori, kauppatieteiden maisteri (2 v);52,00;98,00
Maisterihaku, asiantuntijaorganisaatioiden liiketoimintaosaamisen maisteriohjelma, LASKENTATOIMI JA RAHOITUS, Pori, kauppatieteiden maisteri (2 v);37,00;100,00
Maisterihaku, Asiantuntijaorganisaatioiden liiketoimintaosaamisen maisteriohjelma, MARKKINOINTI, Pori, kauppatieteiden maisteri (2 v);38,00;98,00
Maisterihaku, biologia, filosofian maisteri (2 v);?;?
Maisterihaku, biotekniikka, diplomi-insinööri (2 v);?;?
Maisterihaku, digitaalisen kulttuurin, maiseman ja kulttuuriperinnön tutkinto-ohjelma, Pori, filosofian maisteri (2 v);?;?
Maisterihaku, filosofia, valtiotieteiden maisteri (2 v);?;?
Maisterihaku, fysikaaliset tieteet, filosofian maisteri (2 v);?;?
Maisterihaku, geologia, filosofian maisteri (2 v);?;?
